Tahmin Tarihi,Kurum,Analist,Format,Belge Adı,Varlık,Vade,Hedef Tarihi,Spot Fiyat,Hedef Fiyat,Analiz Tezi,Gerçekleşen Fiyat,Sapma (pip),Yön İsabeti
2025-09-19,Danske Bank,Kristoffer Kjær Lomholt,PDF,FX Forecast Update - Rebound in Real Rates to Support USD Weigh on Scandies,EUR/NOK,+12M,2026-09-19,11.66,12.10,NOK küresel yatırım ortamına hassas; EUR/NOK trend yukarı,,,⏳
2025-10-21,Danske Bank,Kristoffer Kjær Lomholt,PDF,FX Forecast Update - Upward Pressure on EUR/DKK,EUR/NOK,+1M,2025-11-21,11.71,11.70,Uzun vadeli EUR/NOK trendi yukarı; yıl sonu hareket potansiyeli,11.75,500 pip (0.43%),❌
2025-10-21,Danske Bank,Kristoffer Kjær Lomholt,PDF,FX Forecast Update - Upward Pressure on EUR/DKK,EUR/NOK,+3M,2026-01-21,11.71,11.80,Uzun vadeli EUR/NOK trendi yukarı; yıl sonu hareket potansiyeli,11.73,-700 pip (-0.59%),✅
2025-10-21,Danske Bank,Kristoffer Kjær Lomholt,PDF,FX Forecast Update - Upward Pressure on EUR/DKK,EUR/NOK,+6M,2026-04-21,11.71,12.00,Uzun vadeli EUR/NOK trendi yukarı; yıl sonu hareket potansiyeli,,,⏳
2025-10-21,Danske Bank,Kristoffer Kjær Lomholt,PDF,FX Forecast Update - Upward Pressure on EUR/DKK,EUR/NOK,+12M,2026-10-21,11.71,12.20,Uzun vadeli EUR/NOK trendi yukarı; yıl sonu hareket potansiyeli,,,⏳
2025-11-18,Danske Bank,Kristoffer Kjær Lomholt,PDF,FX Forecast Update - USD to Weather AI Valuation Woes,EUR/NOK,+1M,2025-12-18,11.75,11.80,EUR/NOK yıl sonu yukarı hareket potansiyeli; trend sürecek,11.93,1300 pip (1.10%),✅
2025-11-18,Danske Bank,Kristoffer Kjær Lomholt,PDF,FX Forecast Update - USD to Weather AI Valuation Woes,EUR/NOK,+3M,2026-02-18,11.75,11.90,EUR/NOK yıl sonu yukarı hareket potansiyeli; trend sürecek,11.26,-6400 pip (-5.38%),❌
2025-11-18,Danske Bank,Kristoffer Kjær Lomholt,PDF,FX Forecast Update - USD to Weather AI Valuation Woes,EUR/NOK,+6M,2026-05-18,11.75,12.10,EUR/NOK yıl sonu yukarı hareket potansiyeli; trend sürecek,,,⏳
2025-11-18,Danske Bank,Kristoffer Kjær Lomholt,PDF,FX Forecast Update - USD to Weather AI Valuation Woes,EUR/NOK,+12M,2026-11-18,11.75,12.30,EUR/NOK yıl sonu yukarı hareket potansiyeli; trend sürecek,,,⏳
2025-12-19,Danske Bank,Kristoffer Kjær Lomholt,PDF,FX Forecast Update - Weaker USD GBP and NOK in 2026,EUR/NOK,+1M,2026-01-19,11.93,11.90,2026'da da yüksek EUR/NOK; NOK yapısal zayıflık devam,11.73,-1700 pip (-1.43%),✅
2025-12-19,Danske Bank,Kristoffer Kjær Lomholt,PDF,FX Forecast Update - Weaker USD GBP and NOK in 2026,EUR/NOK,+3M,2026-03-19,11.93,12.00,2026'da da yüksek EUR/NOK; NOK yapısal zayıflık devam,10.99,-10100 pip (-8.42%),❌
2025-12-19,Danske Bank,Kristoffer Kjær Lomholt,PDF,FX Forecast Update - Weaker USD GBP and NOK in 2026,EUR/NOK,+6M,2026-06-19,11.93,12.20,2026'da da yüksek EUR/NOK; NOK yapısal zayıflık devam,,,⏳
2025-12-19,Danske Bank,Kristoffer Kjær Lomholt,PDF,FX Forecast Update - Weaker USD GBP and NOK in 2026,EUR/NOK,+12M,2026-12-19,11.93,12.40,2026'da da yüksek EUR/NOK; NOK yapısal zayıflık devam,,,⏳
2026-01-19,Danske Bank,Kristoffer Kjær Lomholt,PDF,FX Forecast Update - Geopolitics Takes Centre Stage as 2026 Kicks Off,EUR/NOK,+1M,2026-02-19,11.73,11.80,EUR/NOK Ocak düşüşü geçici; uzun vadeli trend yukarı,11.26,-5400 pip (-4.58%),❌
2026-01-19,Danske Bank,Kristoffer Kjær Lomholt,PDF,FX Forecast Update - Geopolitics Takes Centre Stage as 2026 Kicks Off,EUR/NOK,+3M,2026-04-19,11.73,11.90,EUR/NOK Ocak düşüşü geçici; uzun vadeli trend yukarı,,,⏳
2026-01-19,Danske Bank,Kristoffer Kjær Lomholt,PDF,FX Forecast Update - Geopolitics Takes Centre Stage as 2026 Kicks Off,EUR/NOK,+6M,2026-07-19,11.73,12.10,EUR/NOK Ocak düşüşü geçici; uzun vadeli trend yukarı,,,⏳
2026-01-19,Danske Bank,Kristoffer Kjær Lomholt,PDF,FX Forecast Update - Geopolitics Takes Centre Stage as 2026 Kicks Off,EUR/NOK,+12M,2027-01-19,11.73,12.30,EUR/NOK Ocak düşüşü geçici; uzun vadeli trend yukarı,,,⏳
2026-02-17,Danske Bank,Kristoffer Kjær Lomholt,PDF,FX Forecast Update - Lingering Scepticism Sustains Bearish Dollar Outlook,EUR/NOK,+1M,2026-03-17,11.26,11.30,NOK enerji fiyatlarıyla güçlendi; geçici olabilir,10.99,-3100 pip (-2.74%),❌
2026-02-17,Danske Bank,Kristoffer Kjær Lomholt,PDF,FX Forecast Update - Lingering Scepticism Sustains Bearish Dollar Outlook,EUR/NOK,+3M,2026-05-17,11.26,11.30,NOK enerji fiyatlarıyla güçlendi; geçici olabilir,,,⏳
2026-02-17,Danske Bank,Kristoffer Kjær Lomholt,PDF,FX Forecast Update - Lingering Scepticism Sustains Bearish Dollar Outlook,EUR/NOK,+6M,2026-08-17,11.26,11.60,NOK enerji fiyatlarıyla güçlendi; geçici olabilir,,,⏳
2026-02-17,Danske Bank,Kristoffer Kjær Lomholt,PDF,FX Forecast Update - Lingering Scepticism Sustains Bearish Dollar Outlook,EUR/NOK,+12M,2027-02-17,11.26,11.80,NOK enerji fiyatlarıyla güçlendi; geçici olabilir,,,⏳
2026-03-20,Danske Bank,Kristoffer Kjær Lomholt,PDF,FX Forecast Update - Energy Shock Steers Global Repricing,EUR/NOK,+1M,2026-04-20,10.99,11.00,NOK tamamen enerji fiyatlarının elinde; petrol belirleyici,,,⏳
2026-03-20,Danske Bank,Kristoffer Kjær Lomholt,PDF,FX Forecast Update - Energy Shock Steers Global Repricing,EUR/NOK,+3M,2026-06-20,10.99,11.00,NOK tamamen enerji fiyatlarının elinde; petrol belirleyici,,,⏳
2026-03-20,Danske Bank,Kristoffer Kjær Lomholt,PDF,FX Forecast Update - Energy Shock Steers Global Repricing,EUR/NOK,+6M,2026-09-20,10.99,11.30,NOK tamamen enerji fiyatlarının elinde; petrol belirleyici,,,⏳
2026-03-20,Danske Bank,Kristoffer Kjær Lomholt,PDF,FX Forecast Update - Energy Shock Steers Global Repricing,EUR/NOK,+12M,2027-03-20,10.99,11.50,NOK tamamen enerji fiyatlarının elinde; petrol belirleyici,,,⏳
2025-06-23,Danske Bank,Jens Nærvig Pedersen,PDF,FX Forecast Update - NOK Remains Vulnerable,EUR/DKK,+1M,2025-07-23,7.46,7.46,Hedge oranları artışıyla EUR/DKK aşağı baskı; dar bant bekleniyor,7.46,50 pip (0.07%),✅
2025-06-23,Danske Bank,Jens Nærvig Pedersen,PDF,FX Forecast Update - NOK Remains Vulnerable,EUR/DKK,+3M,2025-09-23,7.46,7.46,Hedge oranları artışıyla EUR/DKK aşağı baskı; dar bant bekleniyor,7.46,66 pip (0.09%),❌
2025-06-23,Danske Bank,Jens Nærvig Pedersen,PDF,FX Forecast Update - NOK Remains Vulnerable,EUR/DKK,+6M,2025-12-23,7.46,7.46,Hedge oranları artışıyla EUR/DKK aşağı baskı; dar bant bekleniyor,7.47,162 pip (0.22%),❌
2025-06-23,Danske Bank,Jens Nærvig Pedersen,PDF,FX Forecast Update - NOK Remains Vulnerable,EUR/DKK,+12M,2026-06-23,7.46,7.46,Hedge oranları artışıyla EUR/DKK aşağı baskı; dar bant bekleniyor,,,⏳
2025-07-22,Danske Bank,Jens Nærvig Pedersen,PDF,FX Forecast Update - USD Rebound is Temporary,EUR/DKK,+1M,2025-08-22,7.46,7.46,EUR/DKK dar bant içinde; hedge etkileri devam ediyor,7.46,43 pip (0.06%),✅
2025-07-22,Danske Bank,Jens Nærvig Pedersen,PDF,FX Forecast Update - USD Rebound is Temporary,EUR/DKK,+3M,2025-10-22,7.46,7.46,EUR/DKK dar bant içinde; hedge etkileri devam ediyor,7.47,110 pip (0.15%),❌
2025-07-22,Danske Bank,Jens Nærvig Pedersen,PDF,FX Forecast Update - USD Rebound is Temporary,EUR/DKK,+6M,2026-01-22,7.46,7.46,EUR/DKK dar bant içinde; hedge etkileri devam ediyor,7.47,169 pip (0.23%),❌
2025-07-22,Danske Bank,Jens Nærvig Pedersen,PDF,FX Forecast Update - USD Rebound is Temporary,EUR/DKK,+12M,2026-07-22,7.46,7.46,EUR/DKK dar bant içinde; hedge etkileri devam ediyor,,,⏳
2025-08-19,Danske Bank,Jens Nærvig Pedersen,PDF,FX Forecast Update - Still Negative on SEK and NOK,EUR/DKK,+1M,2025-09-19,7.46,7.46,EUR/DKK'da carry etkisi geri döndü; dar bant korunuyor,7.46,41 pip (0.05%),✅
2025-08-19,Danske Bank,Jens Nærvig Pedersen,PDF,FX Forecast Update - Still Negative on SEK and NOK,EUR/DKK,+3M,2025-11-19,7.46,7.46,EUR/DKK'da carry etkisi geri döndü; dar bant korunuyor,7.47,110 pip (0.15%),❌
2025-08-19,Danske Bank,Jens Nærvig Pedersen,PDF,FX Forecast Update - Still Negative on SEK and NOK,EUR/DKK,+6M,2026-02-19,7.46,7.46,EUR/DKK'da carry etkisi geri döndü; dar bant korunuyor,7.47,158 pip (0.21%),❌
2025-08-19,Danske Bank,Jens Nærvig Pedersen,PDF,FX Forecast Update - Still Negative on SEK and NOK,EUR/DKK,+12M,2026-08-19,7.46,7.46,EUR/DKK'da carry etkisi geri döndü; dar bant korunuyor,,,⏳
2025-09-19,Danske Bank,Jens Nærvig Pedersen,PDF,FX Forecast Update - Rebound in Real Rates to Support USD Weigh on Scandies,EUR/DKK,+1M,2025-10-19,7.46,7.46,Fransa belirsizliği EUR/DKK'ya sıçramadı; stabil görünüm,7.47,85 pip (0.11%),❌
2025-09-19,Danske Bank,Jens Nærvig Pedersen,PDF,FX Forecast Update - Rebound in Real Rates to Support USD Weigh on Scandies,EUR/DKK,+3M,2025-12-19,7.46,7.46,Fransa belirsizliği EUR/DKK'ya sıçramadı; stabil görünüm,7.47,137 pip (0.18%),❌
2025-09-19,Danske Bank,Jens Nærvig Pedersen,PDF,FX Forecast Update - Rebound in Real Rates to Support USD Weigh on Scandies,EUR/DKK,+6M,2026-03-19,7.46,7.46,Fransa belirsizliği EUR/DKK'ya sıçramadı; stabil görünüm,7.47,163 pip (0.22%),❌
2025-09-19,Danske Bank,Jens Nærvig Pedersen,PDF,FX Forecast Update - Rebound in Real Rates to Support USD Weigh on Scandies,EUR/DKK,+12M,2026-09-19,7.46,7.46,Fransa belirsizliği EUR/DKK'ya sıçramadı; stabil görünüm,,,⏳
2025-10-21,Danske Bank,Jens Nærvig Pedersen,PDF,FX Forecast Update - Upward Pressure on EUR/DKK,EUR/DKK,+1M,2025-11-21,7.47,7.47,EUR/DKK yukarı baskı; Almanya mali genişlemesi ve hedge oranları etkili,7.47,10 pip (0.01%),⚠️
2025-10-21,Danske Bank,Jens Nærvig Pedersen,PDF,FX Forecast Update - Upward Pressure on EUR/DKK,EUR/DKK,+3M,2026-01-21,7.47,7.46,EUR/DKK yukarı baskı; Almanya mali genişlemesi ve hedge oranları etkili,7.47,94 pip (0.13%),❌
2025-10-21,Danske Bank,Jens Nærvig Pedersen,PDF,FX Forecast Update - Upward Pressure on EUR/DKK,EUR/DKK,+6M,2026-04-21,7.47,7.46,EUR/DKK yukarı baskı; Almanya mali genişlemesi ve hedge oranları etkili,,,⏳
2025-10-21,Danske Bank,Jens Nærvig Pedersen,PDF,FX Forecast Update - Upward Pressure on EUR/DKK,EUR/DKK,+12M,2026-10-21,7.47,7.46,EUR/DKK yukarı baskı; Almanya mali genişlemesi ve hedge oranları etkili,,,⏳
2025-11-18,Danske Bank,Jens Nærvig Pedersen,PDF,FX Forecast Update - USD to Weather AI Valuation Woes,EUR/DKK,+1M,2025-12-18,7.47,7.46,EUR/DKK zirveden hafif gerileme ama yüksek kalacak,7.47,87 pip (0.12%),❌
2025-11-18,Danske Bank,Jens Nærvig Pedersen,PDF,FX Forecast Update - USD to Weather AI Valuation Woes,EUR/DKK,+3M,2026-02-18,7.47,7.46,EUR/DKK zirveden hafif gerileme ama yüksek kalacak,7.47,108 pip (0.14%),❌
2025-11-18,Danske Bank,Jens Nærvig Pedersen,PDF,FX Forecast Update - USD to Weather AI Valuation Woes,EUR/DKK,+6M,2026-05-18,7.47,7.46,EUR/DKK zirveden hafif gerileme ama yüksek kalacak,,,⏳
2025-11-18,Danske Bank,Jens Nærvig Pedersen,PDF,FX Forecast Update - USD to Weather AI Valuation Woes,EUR/DKK,+12M,2026-11-18,7.47,7.46,EUR/DKK zirveden hafif gerileme ama yüksek kalacak,,,⏳
2025-12-19,Danske Bank,Jens Nærvig Pedersen,PDF,FX Forecast Update - Weaker USD GBP and NOK in 2026,EUR/DKK,+1M,2026-01-19,7.47,7.46,EUR/DKK dar bantta ama yukarı yönlü riskler mevcut,7.47,69 pip (0.09%),❌
2025-12-19,Danske Bank,Jens Nærvig Pedersen,PDF,FX Forecast Update - Weaker USD GBP and NOK in 2026,EUR/DKK,+3M,2026-03-19,7.47,7.46,EUR/DKK dar bantta ama yukarı yönlü riskler mevcut,7.47,113 pip (0.15%),❌
2025-12-19,Danske Bank,Jens Nærvig Pedersen,PDF,FX Forecast Update - Weaker USD GBP and NOK in 2026,EUR/DKK,+6M,2026-06-19,7.47,7.46,EUR/DKK dar bantta ama yukarı yönlü riskler mevcut,,,⏳
2025-12-19,Danske Bank,Jens Nærvig Pedersen,PDF,FX Forecast Update - Weaker USD GBP and NOK in 2026,EUR/DKK,+12M,2026-12-19,7.47,7.46,EUR/DKK dar bantta ama yukarı yönlü riskler mevcut,,,⏳
2026-01-19,Danske Bank,Jens Nærvig Pedersen,PDF,FX Forecast Update - Geopolitics Takes Centre Stage as 2026 Kicks Off,EUR/DKK,+1M,2026-02-19,7.47,7.47,EUR/DKK müdahale seviyesine yaklaştı; DN riski mevcut,7.47,8 pip (0.01%),✅
2026-01-19,Danske Bank,Jens Nærvig Pedersen,PDF,FX Forecast Update - Geopolitics Takes Centre Stage as 2026 Kicks Off,EUR/DKK,+3M,2026-04-19,7.47,7.46,EUR/DKK müdahale seviyesine yaklaştı; DN riski mevcut,,,⏳
2026-01-19,Danske Bank,Jens Nærvig Pedersen,PDF,FX Forecast Update - Geopolitics Takes Centre Stage as 2026 Kicks Off,EUR/DKK,+6M,2026-07-19,7.47,7.46,EUR/DKK müdahale seviyesine yaklaştı; DN riski mevcut,,,⏳
2026-01-19,Danske Bank,Jens Nærvig Pedersen,PDF,FX Forecast Update - Geopolitics Takes Centre Stage as 2026 Kicks Off,EUR/DKK,+12M,2027-01-19,7.47,7.46,EUR/DKK müdahale seviyesine yaklaştı; DN riski mevcut,,,⏳
2026-02-17,Danske Bank,Jens Nærvig Pedersen,PDF,FX Forecast Update - Lingering Scepticism Sustains Bearish Dollar Outlook,EUR/DKK,+1M,2026-03-17,7.47,7.47,EUR/DKK temettü sezonu öncesi yukarı baskı devam,7.47,13 pip (0.02%),❌
2026-02-17,Danske Bank,Jens Nærvig Pedersen,PDF,FX Forecast Update - Lingering Scepticism Sustains Bearish Dollar Outlook,EUR/DKK,+3M,2026-05-17,7.47,7.46,EUR/DKK temettü sezonu öncesi yukarı baskı devam,,,⏳
2026-02-17,Danske Bank,Jens Nærvig Pedersen,PDF,FX Forecast Update - Lingering Scepticism Sustains Bearish Dollar Outlook,EUR/DKK,+6M,2026-08-17,7.47,7.46,EUR/DKK temettü sezonu öncesi yukarı baskı devam,,,⏳
2026-02-17,Danske Bank,Jens Nærvig Pedersen,PDF,FX Forecast Update - Lingering Scepticism Sustains Bearish Dollar Outlook,EUR/DKK,+12M,2027-02-17,7.47,7.46,EUR/DKK temettü sezonu öncesi yukarı baskı devam,,,⏳
2026-03-20,Danske Bank,Jens Nærvig Pedersen,PDF,FX Forecast Update - Energy Shock Steers Global Repricing,EUR/DKK,+1M,2026-04-20,7.47,7.47,EUR/DKK rekor seviyelerde; DN müdahale riski yüksek,,,⏳
2026-03-20,Danske Bank,Jens Nærvig Pedersen,PDF,FX Forecast Update - Energy Shock Steers Global Repricing,EUR/DKK,+3M,2026-06-20,7.47,7.47,EUR/DKK rekor seviyelerde; DN müdahale riski yüksek,,,⏳
2026-03-20,Danske Bank,Jens Nærvig Pedersen,PDF,FX Forecast Update - Energy Shock Steers Global Repricing,EUR/DKK,+6M,2026-09-20,7.47,7.46,EUR/DKK rekor seviyelerde; DN müdahale riski yüksek,,,⏳
2026-03-20,Danske Bank,Jens Nærvig Pedersen,PDF,FX Forecast Update - Energy Shock Steers Global Repricing,EUR/DKK,+12M,2027-03-20,7.47,7.46,EUR/DKK rekor seviyelerde; DN müdahale riski yüksek,,,⏳
2025-06-23,Danske Bank,Jesper Fjärstedt,PDF,FX Forecast Update - NOK Remains Vulnerable,EUR/PLN,+1M,2025-07-23,4.27,4.30,PLN göreceli güçlü; NBP politikası destekleyici,4.26,-400 pip (-0.93%),❌
2025-06-23,Danske Bank,Jesper Fjärstedt,PDF,FX Forecast Update - NOK Remains Vulnerable,EUR/PLN,+3M,2025-09-23,4.27,4.20,PLN göreceli güçlü; NBP politikası destekleyici,4.26,600 pip (1.43%),✅
2025-06-23,Danske Bank,Jesper Fjärstedt,PDF,FX Forecast Update - NOK Remains Vulnerable,EUR/PLN,+6M,2025-12-23,4.27,4.10,PLN göreceli güçlü; NBP politikası destekleyici,4.21,1100 pip (2.68%),✅
2025-06-23,Danske Bank,Jesper Fjärstedt,PDF,FX Forecast Update - NOK Remains Vulnerable,EUR/PLN,+12M,2026-06-23,4.27,4.10,PLN göreceli güçlü; NBP politikası destekleyici,,,⏳
2025-07-22,Danske Bank,Jesper Fjärstedt,PDF,FX Forecast Update - USD Rebound is Temporary,EUR/PLN,+1M,2025-08-22,4.26,4.30,PLN makro temelleri güçlü; EUR/PLN stabil,4.24,-600 pip (-1.40%),❌
2025-07-22,Danske Bank,Jesper Fjärstedt,PDF,FX Forecast Update - USD Rebound is Temporary,EUR/PLN,+3M,2025-10-22,4.26,4.20,PLN makro temelleri güçlü; EUR/PLN stabil,4.25,500 pip (1.19%),✅
2025-07-22,Danske Bank,Jesper Fjärstedt,PDF,FX Forecast Update - USD Rebound is Temporary,EUR/PLN,+6M,2026-01-22,4.26,4.10,PLN makro temelleri güçlü; EUR/PLN stabil,4.23,1300 pip (3.17%),✅
2025-07-22,Danske Bank,Jesper Fjärstedt,PDF,FX Forecast Update - USD Rebound is Temporary,EUR/PLN,+12M,2026-07-22,4.26,4.10,PLN makro temelleri güçlü; EUR/PLN stabil,,,⏳
2025-08-19,Danske Bank,Jesper Fjärstedt,PDF,FX Forecast Update - Still Negative on SEK and NOK,EUR/PLN,+1M,2025-09-19,4.24,4.30,PLN dirençli; EUR/PLN aşağı yönlü hafif baskı,4.26,-400 pip (-0.93%),✅
2025-08-19,Danske Bank,Jesper Fjärstedt,PDF,FX Forecast Update - Still Negative on SEK and NOK,EUR/PLN,+3M,2025-11-19,4.24,4.20,PLN dirençli; EUR/PLN aşağı yönlü hafif baskı,4.24,400 pip (0.95%),⚠️
2025-08-19,Danske Bank,Jesper Fjärstedt,PDF,FX Forecast Update - Still Negative on SEK and NOK,EUR/PLN,+6M,2026-02-19,4.24,4.10,PLN dirençli; EUR/PLN aşağı yönlü hafif baskı,4.21,1100 pip (2.68%),✅
2025-08-19,Danske Bank,Jesper Fjärstedt,PDF,FX Forecast Update - Still Negative on SEK and NOK,EUR/PLN,+12M,2026-08-19,4.24,4.10,PLN dirençli; EUR/PLN aşağı yönlü hafif baskı,,,⏳
2025-09-19,Danske Bank,Jesper Fjärstedt,PDF,FX Forecast Update - Rebound in Real Rates to Support USD Weigh on Scandies,EUR/PLN,+1M,2025-10-19,4.26,4.30,PLN dahili dinamiklerle destekli,4.25,-500 pip (-1.16%),❌
2025-09-19,Danske Bank,Jesper Fjärstedt,PDF,FX Forecast Update - Rebound in Real Rates to Support USD Weigh on Scandies,EUR/PLN,+3M,2025-12-19,4.26,4.20,PLN dahili dinamiklerle destekli,4.21,100 pip (0.24%),✅
2025-09-19,Danske Bank,Jesper Fjärstedt,PDF,FX Forecast Update - Rebound in Real Rates to Support USD Weigh on Scandies,EUR/PLN,+6M,2026-03-19,4.26,4.10,PLN dahili dinamiklerle destekli,4.27,1700 pip (4.15%),❌
2025-09-19,Danske Bank,Jesper Fjärstedt,PDF,FX Forecast Update - Rebound in Real Rates to Support USD Weigh on Scandies,EUR/PLN,+12M,2026-09-19,4.26,4.10,PLN dahili dinamiklerle destekli,,,⏳
2025-10-21,Danske Bank,Jesper Fjärstedt,PDF,FX Forecast Update - Upward Pressure on EUR/DKK,EUR/PLN,+1M,2025-11-21,4.25,4.30,PLN stabil; EUR/PLN dar bantta,4.24,-600 pip (-1.40%),❌
2025-10-21,Danske Bank,Jesper Fjärstedt,PDF,FX Forecast Update - Upward Pressure on EUR/DKK,EUR/PLN,+3M,2026-01-21,4.25,4.20,PLN stabil; EUR/PLN dar bantta,4.23,300 pip (0.71%),✅
2025-10-21,Danske Bank,Jesper Fjärstedt,PDF,FX Forecast Update - Upward Pressure on EUR/DKK,EUR/PLN,+6M,2026-04-21,4.25,4.10,PLN stabil; EUR/PLN dar bantta,,,⏳
2025-10-21,Danske Bank,Jesper Fjärstedt,PDF,FX Forecast Update - Upward Pressure on EUR/DKK,EUR/PLN,+12M,2026-10-21,4.25,4.10,PLN stabil; EUR/PLN dar bantta,,,⏳
2025-11-18,Danske Bank,Jesper Fjärstedt,PDF,FX Forecast Update - USD to Weather AI Valuation Woes,EUR/PLN,+1M,2025-12-18,4.24,4.30,PLN stabil makro ortam; EUR/PLN dar bant,4.21,-900 pip (-2.09%),❌
2025-11-18,Danske Bank,Jesper Fjärstedt,PDF,FX Forecast Update - USD to Weather AI Valuation Woes,EUR/PLN,+3M,2026-02-18,4.24,4.20,PLN stabil makro ortam; EUR/PLN dar bant,4.21,100 pip (0.24%),✅
2025-11-18,Danske Bank,Jesper Fjärstedt,PDF,FX Forecast Update - USD to Weather AI Valuation Woes,EUR/PLN,+6M,2026-05-18,4.24,4.10,PLN stabil makro ortam; EUR/PLN dar bant,,,⏳
2025-11-18,Danske Bank,Jesper Fjärstedt,PDF,FX Forecast Update - USD to Weather AI Valuation Woes,EUR/PLN,+12M,2026-11-18,4.24,4.10,PLN stabil makro ortam; EUR/PLN dar bant,,,⏳
2025-12-19,Danske Bank,Jesper Fjärstedt,PDF,FX Forecast Update - Weaker USD GBP and NOK in 2026,EUR/PLN,+1M,2026-01-19,4.21,4.20,PLN'e ılımlı yükseliş öneriliyor,4.23,300 pip (0.71%),❌
2025-12-19,Danske Bank,Jesper Fjärstedt,PDF,FX Forecast Update - Weaker USD GBP and NOK in 2026,EUR/PLN,+3M,2026-03-19,4.21,4.20,PLN'e ılımlı yükseliş öneriliyor,4.27,700 pip (1.67%),❌
2025-12-19,Danske Bank,Jesper Fjärstedt,PDF,FX Forecast Update - Weaker USD GBP and NOK in 2026,EUR/PLN,+6M,2026-06-19,4.21,4.10,PLN'e ılımlı yükseliş öneriliyor,,,⏳
2025-12-19,Danske Bank,Jesper Fjärstedt,PDF,FX Forecast Update - Weaker USD GBP and NOK in 2026,EUR/PLN,+12M,2026-12-19,4.21,4.00,PLN'e ılımlı yükseliş öneriliyor,,,⏳
2026-01-19,Danske Bank,Jesper Fjärstedt,PDF,FX Forecast Update - Geopolitics Takes Centre Stage as 2026 Kicks Off,EUR/PLN,+1M,2026-02-19,4.23,4.20,PLN stabil; bölgesel riskler sınırlı,4.21,100 pip (0.24%),✅
2026-01-19,Danske Bank,Jesper Fjärstedt,PDF,FX Forecast Update - Geopolitics Takes Centre Stage as 2026 Kicks Off,EUR/PLN,+3M,2026-04-19,4.23,4.20,PLN stabil; bölgesel riskler sınırlı,,,⏳
2026-01-19,Danske Bank,Jesper Fjärstedt,PDF,FX Forecast Update - Geopolitics Takes Centre Stage as 2026 Kicks Off,EUR/PLN,+6M,2026-07-19,4.23,4.10,PLN stabil; bölgesel riskler sınırlı,,,⏳
2026-01-19,Danske Bank,Jesper Fjärstedt,PDF,FX Forecast Update - Geopolitics Takes Centre Stage as 2026 Kicks Off,EUR/PLN,+12M,2027-01-19,4.23,4.00,PLN stabil; bölgesel riskler sınırlı,,,⏳
2026-02-17,Danske Bank,Jesper Fjärstedt,PDF,FX Forecast Update - Lingering Scepticism Sustains Bearish Dollar Outlook,EUR/PLN,+1M,2026-03-17,4.21,4.20,PLN stabil; EUR/PLN dar bantta,4.27,700 pip (1.67%),❌
2026-02-17,Danske Bank,Jesper Fjärstedt,PDF,FX Forecast Update - Lingering Scepticism Sustains Bearish Dollar Outlook,EUR/PLN,+3M,2026-05-17,4.21,4.20,PLN stabil; EUR/PLN dar bantta,,,⏳
2026-02-17,Danske Bank,Jesper Fjärstedt,PDF,FX Forecast Update - Lingering Scepticism Sustains Bearish Dollar Outlook,EUR/PLN,+6M,2026-08-17,4.21,4.10,PLN stabil; EUR/PLN dar bantta,,,⏳
2026-02-17,Danske Bank,Jesper Fjärstedt,PDF,FX Forecast Update - Lingering Scepticism Sustains Bearish Dollar Outlook,EUR/PLN,+12M,2027-02-17,4.21,4.00,PLN stabil; EUR/PLN dar bantta,,,⏳
2026-03-20,Danske Bank,Jesper Fjärstedt,PDF,FX Forecast Update - Energy Shock Steers Global Repricing,EUR/PLN,+1M,2026-04-20,4.27,4.30,PLN bölgesel enerji riskiyle baskıda,,,⏳
2026-03-20,Danske Bank,Jesper Fjärstedt,PDF,FX Forecast Update - Energy Shock Steers Global Repricing,EUR/PLN,+3M,2026-06-20,4.27,4.20,PLN bölgesel enerji riskiyle baskıda,,,⏳
2026-03-20,Danske Bank,Jesper Fjärstedt,PDF,FX Forecast Update - Energy Shock Steers Global Repricing,EUR/PLN,+6M,2026-09-20,4.27,4.10,PLN bölgesel enerji riskiyle baskıda,,,⏳
2026-03-20,Danske Bank,Jesper Fjärstedt,PDF,FX Forecast Update - Energy Shock Steers Global Repricing,EUR/PLN,+12M,2027-03-20,4.27,4.00,PLN bölgesel enerji riskiyle baskıda,,,⏳
2025-06-23,Danske Bank,Danske Bank Ekip,PDF,FX Forecast Update - NOK Remains Vulnerable,EUR/HUF,+1M,2025-07-23,404.00,400.00,EUR/HUF yükseliş beklentisi; spot 404,399.00,-10000 pip (-0.25%),✅
2025-06-23,Danske Bank,Danske Bank Ekip,PDF,FX Forecast Update - NOK Remains Vulnerable,EUR/HUF,+3M,2025-09-23,404.00,410.00,EUR/HUF yükseliş beklentisi; spot 404,389.00,-210000 pip (-5.12%),❌
2025-06-23,Danske Bank,Danske Bank Ekip,PDF,FX Forecast Update - NOK Remains Vulnerable,EUR/HUF,+6M,2025-12-23,404.00,420.00,EUR/HUF yükseliş beklentisi; spot 404,386.00,-340000 pip (-8.10%),❌
2025-06-23,Danske Bank,Danske Bank Ekip,PDF,FX Forecast Update - NOK Remains Vulnerable,EUR/HUF,+12M,2026-06-23,404.00,430.00,EUR/HUF yükseliş beklentisi; spot 404,,,⏳
2025-07-22,Danske Bank,Danske Bank Ekip,PDF,FX Forecast Update - USD Rebound is Temporary,EUR/HUF,+1M,2025-08-22,399.00,400.00,EUR/HUF yükseliş beklentisi; spot 399,394.00,-60000 pip (-1.50%),❌
